"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 02:57:15 GMT 2023","Wed Aug 23 02:57:16 GMT 2023","1082","","Product Sort Functionality","","","","Add Product to cart and then remove",""
"passed","Wed Aug 23 02:57:08 GMT 2023","Wed Aug 23 02:57:15 GMT 2023","7630","","Product Sort Functionality","","","","Verify Sort Functionality",""
"passed","Wed Aug 23 02:57:16 GMT 2023","Wed Aug 23 02:57:18 GMT 2023","1235","","Product Sort Functionality","","","","Checkout Cancellation",""
"passed","Wed Aug 23 02:57:08 GMT 2023","Wed Aug 23 02:57:17 GMT 2023","9338","","End to End User flow","","","","User Checkout Flow",""
